wave	rownum	serial	area	lr8	lr7	lr6	lr5	lr4	lr3	lr2	lr1	ll1	ll2	ll3	ll4	ll5	ll6	ll7	ll8
1	22	52227T	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	22	52228V	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	22	52230X	24	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	52231Y	24	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	52232Z	32	0	-	-	-	5	2	1	1	1	1	-	2	-	-	-	-
1	22	52233A	32	-	-	-	-	-	5	1	1	-	2	2	-	-	-	-	-
1	22	52234B	32	1	5	-	-	2	1	1	1	1	1	2	1	5	-	4	-
1	22	52236D	32	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	52237E	33	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	52238F	33	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	52239G	40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	22	52241J	40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	22	52242K	48	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	22	52243L	48	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1	22	52244M	64	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	52245N	65	-	-	-	-	-	-	-	-	1	-	-	-	-	-	-	-
1	22	52246P	72	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	52247Q	73	-	-	-	-	1	0	0	1	1	1	0	1	-	-	-	-
1	22	52248R	73	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	52249S	73	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	52250T	80	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	52251V	80	-	0	-	1	9	1	1	1	1	1	1	0	0	-	-	-
1	22	52253X	25	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22	52254Y	73	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61001F	2	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61002G	2	-	-	-	-	-	2	1	1	1	1	5	-	-	-	-	-
2	22	61003H	2	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61005K	2	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61006L	2	-	-	-	1	1	1	1	1	1	1	1	1	1	-	-	-
2	22	61007M	2	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61008N	2	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61009P	2	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61010Q	2	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61012S	2	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61013T	7	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61014V	7	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61015W	7	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61018Z	7	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61019A	7	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61020B	7	5	-	-	1	0	0	0	0	0	0	0	0	1	-	-	0
2	22	61021C	7	1	-	1	1	1	0	1	1	1	1	1	0	1	-	-	1
2	22	61022D	10	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61023E	10	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61025G	10	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61026H	10	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61027J	10	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61028K	10	 	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61029L	10	-	1	-	-	1	0	1	1	1	1	0	1	2	-	1	-
2	22	61030M	10	-	-	-	1	1	1	0	1	0	0	0	0	-	-	-	-
2	22	61031N	15	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61032P	15	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61033Q	15	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61034R	15	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61035S	15	-	-	-	-	-	-	1	1	1	5	1	-	-	-	-	-
2	22	61036T	15	0	1	-	-	1	1	1	1	1	1	1	1	-	-	1	0
2	22	61037V	15	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61038W	15	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61039X	15	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61040Y	15	-	-	-	-	1	1	1	1	1	0	0	1	-	-	-	-
2	22	61041Z	18	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61042A	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2	22	61043B	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2	22	61044C	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2	22	61045D	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2	22	61047F	18	-	-	-	-	-	1	1	-	1	-	1	5	-	-	-	-
2	22	61049H	18	-	1	-	1	1	1	1	1	1	1	1	1	1	-	-	-
2	22	61050J	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
2	22	61051K	18	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61052L	18	-	-	-	-	1	1	-	-	1	1	1	1	-	-	-	-
2	22	61053M	23	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61054N	23	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61056Q	23	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61057R	23	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61058S	23	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61059T	23	-	1	-	-	1	1	1	1	1	1	1	1	-	1	1	-
2	22	61061W	23	-	-	-	1	1	1	1	1	1	1	0	2	-	1	-	-
2	22	61063Y	26	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61064Z	26	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61067C	26	-	5	-	1	-	1	1	1	1	1	1	-	1	1	1	1
2	22	61068D	26	-	-	-	-	-	1	1	1	1	1	1	-	-	-	-	-
2	22	61069E	26	-	-	-	-	-	1	1	-	-	1	1	-	-	-	-	-
2	22	61070F	26	-	-	-	-	2	1	1	1	1	1	1	1	-	-	3	-
2	22	61071G	26	-	5	-	-	5	1	1	1	1	1	5	5	-	-	5	-
2	22	61072H	26	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61073J	31	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61074K	31	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	22	61076M	31	1	-	-	-	-	1	1	0	0	0	0	1	-	-	1	-
2	22	61077N	31	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
